,doc,page,min,max,year,pos,len,blocks_on_page,group
213,Economics-1955-0,16,0.70802349,0.8700587200000001,1955.0,center,0.16203523000000009,8,E5
214,Economics-1955-0,16,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,8,E5
215,Economics-1955-0,16,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,8,E5
216,Economics-1955-0,17,0.071232878,0.082583167,1955.0,top,0.011350289,9,E5
217,Economics-1955-0,17,0.07201565800000001,0.08062622,1955.0,top,0.008610561999999988,9,E5
218,Economics-1955-0,17,0.1001957,0.15029354,1955.0,center,0.050097840000000005,9,E5
219,Economics-1955-0,17,0.15303327,0.36751467,1955.0,center,0.2144814,9,E5
220,Economics-1955-0,17,0.36947161,0.6720156700000001,1955.0,center,0.30254406000000006,9,E5
221,Economics-1955-0,17,0.67358124,0.8547945,1955.0,center,0.18121326000000004,9,E5
222,Economics-1955-0,17,0.85322899,0.8731898100000001,1955.0,center,0.0199608200000001,9,E5
223,Economics-1955-0,17,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,9,E5
224,Economics-1955-0,17,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,9,E5
225,Economics-1955-0,18,0.071232878,0.07984344700000001,1955.0,top,0.008610569000000012,7,E5
226,Economics-1955-0,18,0.069667317,0.08062622,1955.0,top,0.010958902999999992,7,E5
227,Economics-1955-0,18,0.098238744,0.47318983000000003,1955.0,center,0.37495108600000004,7,E5
228,Economics-1955-0,18,0.47553816,0.72641879,1955.0,center,0.25088063,7,E5
229,Economics-1955-0,18,0.72681016,0.8700587200000001,1955.0,center,0.14324856000000008,7,E5
230,Economics-1955-0,18,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,7,E5
231,Economics-1955-0,18,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,7,E5
232,Economics-1955-0,19,0.071232878,0.08336594700000001,1955.0,top,0.01213306900000001,4,E5
233,Economics-1955-0,19,0.099021524,0.16712329,1955.0,center,0.06810176600000001,4,E5
234,Economics-1955-0,19,0.17025441,0.87201566,1955.0,center,0.70176125,4,E5
235,Economics-1955-0,19,0.91780823,0.95225048,1955.0,btm,0.03444225000000001,4,E5
236,Economics-1955-0,20,0.07279843100000001,0.081409,1955.0,top,0.008610568999999985,9,E5
237,Economics-1955-0,20,0.072407044,0.082583167,1955.0,top,0.010176122999999995,9,E5
238,Economics-1955-0,20,0.10058708,0.14872798,1955.0,center,0.048140900000000014,9,E5
239,Economics-1955-0,20,0.16477495,0.18160469999999998,1955.0,center,0.016829749999999977,9,E5
240,Economics-1955-0,20,0.19021526,0.63600785,1955.0,center,0.44579259000000004,9,E5
241,Economics-1955-0,20,0.63913894,0.83757341,1955.0,center,0.19843446999999992,9,E5
242,Economics-1955-0,20,0.83757341,0.8708414999999999,1955.0,center,0.03326808999999997,9,E5
243,Economics-1955-0,20,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,9,E5
244,Economics-1955-0,20,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,9,E5
245,Economics-1955-0,21,0.070450097,0.081800394,1955.0,top,0.011350296999999995,8,E5
